IF,IG,IH,IM,PROT,CATH,ISRA,GER,FR,ITA,ROM,ED1,ED2,ED3,SINGL1,SINGL2,MORT,DECM10,DECM50,DECM.1,DECIG10,DECIG.6,WL.WL65,WLEXAGR.W65,ALT.1,ALT.2,ALT.3,MAGR,MIND,WAGR,WIND,PROPWAGR,PROPWIND,PROPWOTH,PROPWTO,TAGR,TIND,ENTERPR,COTTENTERPR,AGRENTERPR,IND.ENTERPR,COMM.ENTRPR,TRANS.ENTERPR,ADM.ENTERPR,HOTEL.ENTERPR,WCOTTAGE,SEX1900,CBR,CDR,CMR,NGR,TGR,SEX1910,BORNCOM,BORNFOR,COTTIND,SIZHOLD,SIZLOT,TOTHOLD,PRFIELD,PRMEADO,PRVINE,PRMAGR,PRMIND,PRWAGR,PRWIND,PRAGRIC,PRIND,WAGRIENT,WINDENT,WLFENT,TRANSP,ADMINI,COMBINE,LABEL,Key,Canton,District1,District2,
201,391,47,447,65000,30600,2300,90800,1700,5500,200,54000,3000,68000,80200,17000,135,1875000,1904000,1919900,1885400,1874300,388,378,99000,1000,0,49,567,26,470,180,258,356,296,42,538,10,97,105,491,322,19,62,96,18,921,26,14,13,12,25,964,32770,25660,16,5738,438,76,120,634,52,6650,59570,9520,51350,7530,57050,38680,27510,30570,6890,7800,14690,L1101,111,Zurich,Zurich,,
359,638,31,539,94100,5400,200,94400,900,4600,0,38000,3000,16000,71400,16500,118,1880200,1913000,1917700,1903700,1914000,311,194,36000,64000,0,466,441,375,325,169,157,447,201,447,417,163,25,604,255,102,21,18,31,9,1072,28,17,-1,11,10,1124,50810,5110,9,7196,728,101,352,476,0,60800,30990,76340,10790,66560,23510,42500,17010,37060,2400,3070,5470,L102,201,Berne,Aarberg,,
333,641,25,500,97900,1900,100,99300,400,200,0,31000,8000,16000,75300,13600,121,1878800,1914300,1917900,1906300,1913500,395,306,39000,61000,0,414,445,226,558,177,331,376,283,361,477,167,57,481,370,115,16,18,26,19,988,28,15,-7,13,5,987,56260,1710,35,5367,822,153,355,513,0,53690,35900,62060,26060,57070,31930,43890,32930,40350,2820,3450,6260,L202,202,Berne,Aarwangen,,
233,493,28,441,88600,8800,900,92900,4100,2000,100,52000,3000,35000,79300,21000,120,1875900,1905300,1917500,1902600,1904400,336,315,0,100000,0,134,491,61,441,152,262,343,283,113,477,91,29,244,441,235,25,55,53,4,906,28,15,12,12,24,927,40420,7330,9,10075,2422,240,265,536,0,20600,49690,28800,36590,23160,45600,38860,25080,31250,7920,11870,19790,L302,203,Berne,Berne,,
203,402,21,479,80900,15900,1500,65200,31800,2400,0,58000,3000,47000,79000,13900,146,1878900,1912300,1923000,1891100,1894800,392,389,98000,2000,0,31,670,9,657,111,308,337,312,24,666,112,254,63,664,212,15,46,70,39,949,25,15,-3,11,8,920,33510,7690,53,6654,673,101,202,708,24,5080,70810,3930,67470,4690,69690,28100,32460,33530,7630,5350,12970,L402,204,Berne,Biel,,
353,629,20,546,97300,2600,0,97000,2100,900,0,37000,2000,22000,71200,10100,124,1876400,1909600,1919400,1905600,1912100,415,293,100000,0,0,402,502,293,497,215,272,452,274,372,501,183,50,577,299,86,21,16,27,25,1031,30,17,-6,13,7,1041,57420,1470,37,4865,339,70,392,557,2,57480,35590,66300,22270,61080,30150,44330,30170,40840,2520,2900,5420,L502,205,Berne,Bueren,,
320,642,25,479,97400,2300,200,98700,800,400,0,40000,5000,21000,74000,16400,131,1875600,1915200,1921900,1904800,1913900,372,286,0,96000,4000,408,439,231,502,168,290,384,263,362,455,125,9,463,356,140,17,24,33,3,1021,29,15,-10,14,5,1016,47480,1520,6,10282,1564,152,320,438,0,47640,40090,57170,28100,51040,35810,40000,28020,35710,3410,3850,7260,L602,206,Berne,Burgdorf,,
250,513,11,476,87400,11900,100,18400,79900,1600,0,26000,8000,24000,76500,11100,139,1882900,1913300,1923000,1895500,1905000,431,404,63000,37000,0,210,665,63,758,117,336,390,308,165,694,147,273,324,534,105,22,15,40,100,986,27,15,-15,12,-3,968,50850,3300,66,15319,1678,110,74,800,0,28170,63030,30070,56290,28820,60700,36030,32030,34540,2650,3440,6080,L702,207,Berne,Courtelary,,
356,694,18,499,20400,78900,400,25100,72500,2400,0,26000,9000,24000,74000,15300,154,1895200,1921000,1923800,1899500,1918800,368,268,10000,90000,0,378,435,271,462,193,262,323,250,351,442,186,135,549,311,98,21,21,37,68,1040,33,19,-2,14,11,1031,55030,6400,35,9738,597,61,146,726,0,49350,34540,61310,24780,53790,30920,42310,29750,37120,6920,4360,11270,L802,208,Berne,Delemont,,
348,652,20,519,97800,2100,0,95600,3800,400,0,33000,6000,18000,73800,16000,149,1882200,1921400,1923800,1913300,1914100,436,187,100000,0,0,694,228,570,233,210,249,450,245,663,229,193,23,712,177,81,18,11,29,15,1160,28,17,-5,11,6,1154,57870,1290,10,6464,310,48,355,539,24,79090,16100,82850,9000,80520,13400,39100,25520,38000,1980,4270,6240,L902,209,Berne,Erlach,,
367,754,13,477,7000,92900,0,5300,93600,1100,0,23000,8000,19000,82100,18300,159,1896000,1927100,1928200,1907400,1927100,423,328,2000,61000,37000,421,461,226,530,163,294,427,266,369,479,194,155,510,369,82,29,10,38,76,1084,34,18,-14,15,1,1063,57700,5020,103,13604,945,69,246,625,0,50260,41620,63450,23760,55310,34770,43970,26180,38330,3100,4020,7120,L1002,210,Berne,Franches-Mnt,,
343,668,24,496,98100,1800,0,98700,700,600,0,37000,5000,29000,77900,13100,130,1895200,1925900,1923000,1911700,1915900,341,219,39000,61000,0,500,398,359,354,177,210,455,230,467,387,165,4,569,281,112,17,21,26,2,1058,28,16,-10,12,2,1077,47660,1480,3,8139,747,92,341,473,0,61740,31240,76830,9800,67460,23110,43180,16080,37920,2260,4760,7020,L1102,211,Berne,Fraubrunnen,,
401,715,33,539,72900,24400,0,73800,800,24000,0,31000,6000,12000,65900,15700,161,1876400,1922200,1922800,1902700,1921000,388,263,0,85000,15000,296,601,322,317,191,103,434,179,301,550,202,1,680,167,102,41,11,43,0,1120,29,14,27,14,42,1413,54730,24970,1,9594,1893,197,6,856,0,66710,18300,62780,9870,65050,14730,40840,28360,42320,2770,2250,5030,L1202,212,Berne,Frutigen,,
303,573,20,511,95500,4200,100,97300,900,1500,0,32000,5000,18000,75400,15000,124,1877100,1916800,1920200,1902600,1908200,361,305,0,78000,22000,341,332,156,337,129,249,336,246,296,333,202,83,480,218,143,53,105,63,8,1038,30,16,-2,13,11,1029,65360,3450,22,17759,2756,155,7,926,0,38240,23750,35880,12490,37320,19370,37400,25080,38900,8430,8860,17300,L1302,213,Berne,Interlaken,,
328,701,15,456,99100,800,0,99000,800,200,0,37000,3000,14000,78800,20100,109,1876800,1913900,1915500,1911800,1920000,347,217,0,100000,0,550,340,373,374,182,266,430,248,506,348,163,13,556,306,107,18,13,17,4,1046,27,15,-7,13,6,1044,43880,810,7,8204,1639,200,239,529,0,61620,29530,73180,14820,66060,23880,42560,23850,38420,2590,4440,7030,L1402,214,Berne,Konolfingen,,
344,689,22,483,12600,87000,300,92200,2800,4900,0,37000,6000,37000,79900,13300,140,1889100,1915600,1921000,1882000,1922300,389,303,85000,15000,0,322,540,220,563,182,253,338,245,297,546,184,25,620,196,134,35,14,51,16,1063,31,18,-2,13,11,1094,59600,9240,3,4398,192,44,309,633,1,55830,34280,56840,30160,56220,32700,38810,35400,38380,4330,3450,7770,L1502,215,Berne,Laufen,,
354,632,32,536,97400,2200,100,97500,1000,1400,0,32000,4000,14000,72700,14200,115,1879200,1911400,1918300,1904200,1913100,313,185,25000,75000,0,606,304,410,339,154,232,429,213,564,312,162,1,585,254,119,22,20,27,0,1125,29,15,-16,14,-3,1078,54970,1850,6,8610,1029,120,350,483,0,67050,25120,73740,16630,69680,21780,41650,30060,39360,2390,2690,5080,L1602,216,Berne,Laupen,,
344,663,22,502,66400,33100,100,29000,67800,3200,0,24000,8000,17000,73100,14900,132,1894300,1921700,1922300,1903100,1914900,438,389,13000,83000,4000,278,608,113,718,144,328,382,293,230,640,169,151,510,346,99,32,13,35,68,1020,34,17,0,17,17,1020,46080,5780,57,10778,779,72,112,760,0,37480,55990,44420,43780,40080,51420,41510,31890,37450,3070,3320,6390,L1702,217,Berne,Moutier,,
257,557,11,450,92500,6600,200,20700,77300,1500,0,33000,4000,19000,78700,16000,120,1888700,1912500,1917300,1904700,1907300,321,267,53000,47000,0,516,343,167,428,106,312,510,267,423,366,181,79,514,319,117,21,30,31,21,949,26,19,-8,7,-1,897,54760,4530,37,8966,557,62,127,783,36,54790,32930,59350,24810,56510,29870,39570,31290,37670,2360,6440,8810,L1802,218,Berne,Neuveville,,
344,586,28,567,94900,4600,0,92600,6700,700,0,40000,3000,19000,70800,9000,137,1878700,1916200,1920000,1896800,1909100,364,267,98000,2000,0,348,474,266,496,211,268,319,259,327,480,155,79,546,299,119,22,14,37,27,1031,32,18,-9,14,5,1023,47960,2390,21,4424,374,84,345,559,28,47340,34860,66430,19110,54530,28930,45870,24880,37660,7090,3170,10260,L1902,219,Berne,Nidau,,
263,606,13,421,97800,2100,0,99200,400,400,0,34000,3000,16000,84300,14800,97,1877200,1920400,1907600,1903700,1910800,478,285,0,69000,31000,561,204,404,287,238,379,363,302,514,229,231,127,550,221,91,55,82,39,60,1036,23,14,-11,9,-3,1033,72530,1590,57,14617,2757,189,9,902,0,51810,20930,59340,10060,55040,16260,46300,26570,42940,6040,9070,15110,L2002,220,Berne,Oberhasle,,
285,597,20,459,10100,89400,400,7500,91200,1300,0,24000,9000,23000,78400,15800,164,1893700,1918500,1927500,1906500,1909800,448,367,76000,24000,0,403,421,180,554,166,371,404,309,334,462,193,142,525,330,110,19,15,43,51,1012,29,20,-12,8,-4,966,62540,8750,76,7659,378,49,250,657,0,56120,32720,62030,24300,58510,29310,42910,33560,40480,3270,5290,8560,L2102,221,Berne,Porrentruy,,
380,681,18,547,98100,1800,0,97400,1600,1000,0,27000,7000,13000,69200,13300,131,1877800,1920000,1920700,1912000,1917900,382,199,0,0,100000,664,206,479,262,193,296,398,249,618,220,252,0,685,180,90,36,9,25,0,1038,29,17,-5,12,8,1059,74110,2220,1,34741,8700,250,2,919,0,73800,14900,80710,6510,76660,11430,43530,23530,41340,3060,3310,6370,L2202,222,Berne,Saanan,,
462,839,43,527,99700,300,0,99900,100,0,0,27000,10000,6000,69100,13500,140,1877800,1926400,1929000,1919400,1933000,387,121,0,75000,25000,704,214,687,165,248,206,377,252,700,201,163,3,706,196,74,15,9,19,2,1055,36,18,-16,17,1,1071,75610,320,2,10502,2536,242,96,819,0,81330,14090,85680,6260,83230,10670,44960,25630,43670,1520,2420,3940,L2302,223,Berne,Schwarznburg,,
389,738,24,511,99500,400,0,99600,300,100,0,28000,6000,12000,69800,19100,127,1879100,1919800,1920400,1911900,1922200,359,172,0,100000,0,611,310,521,257,218,214,480,247,589,297,164,6,658,224,87,17,12,20,3,1065,29,19,-5,11,6,1074,53320,720,7,7246,1359,188,290,591,0,74340,19010,79190,8410,76320,14690,42300,23340,40760,1560,2840,4400,L2402,224,Berne,Seftigen,,
375,754,24,481,99300,700,0,99600,200,200,0,30000,7000,15000,70600,17700,119,1882000,1921300,1918300,1914800,1925300,414,209,0,100000,0,604,281,495,322,236,302,375,274,574,293,151,9,576,287,113,12,12,19,4,1036,30,15,-15,16,0,1042,59880,680,2,12285,6006,489,128,607,0,66040,24420,73840,14750,69240,20460,43700,29540,40970,2320,2900,5220,L2502,225,Berne,Signau,,
318,601,26,507,97900,2000,0,98600,700,600,0,29000,4000,16000,67900,19500,105,1876800,1917600,1912700,1901700,1910100,328,227,0,100000,0,604,260,308,300,133,258,463,231,535,269,196,2,648,222,88,30,12,32,0,1107,27,16,-13,11,-2,1038,64190,2340,2,14881,3325,223,16,952,0,63340,24400,71470,6200,66530,17270,42080,14070,39170,4480,4450,8930,L2602,226,Berne,N.,Simmental,
343,626,22,530,98500,1400,100,98700,500,800,0,32000,5000,10000,70800,13800,135,1880300,1930000,1922700,1903300,1912400,327,209,0,53000,47000,629,228,362,300,139,270,398,219,571,244,221,2,665,188,106,26,14,28,2,1042,29,18,-6,11,4,1059,73200,1800,2,18613,3863,208,2,912,0,71330,17910,77940,5070,73830,13050,40010,14740,37900,4220,3360,7580,L2702,227,Berne,O.,Simmental,
340,657,22,501,97300,2300,100,98300,1000,500,0,36000,6000,18000,74100,14800,121,1877700,1919700,1921400,1906300,1914200,352,246,0,89000,11000,398,417,301,348,207,224,397,257,373,400,154,3,579,248,130,20,22,36,1,1008,30,16,-4,15,10,994,53060,1930,2,7298,1719,235,112,727,0,46840,27610,64370,14610,53000,23050,42650,22260,35110,3810,6480,10290,L2802,228,Berne,Thun,,
341,704,17,472,99200,700,0,99500,300,200,0,36000,6000,10000,74800,18900,122,1878400,1916800,1917900,1903100,1919800,465,292,0,100000,0,564,340,372,469,217,367,410,296,507,378,196,177,434,459,84,12,11,17,85,1046,28,15,-11,14,3,1044,59780,640,81,8835,2878,326,256,521,0,64910,28350,66620,24250,65610,26680,41440,37100,40810,3170,2660,5830,L2902,229,Berne,Trachselwald,,
342,648,25,509,97900,1900,100,99000,800,200,0,34000,5000,26000,74800,17100,122,1884400,1918700,1917300,1895300,1914700,393,296,89000,11000,0,440,448,249,521,180,311,442,279,386,468,186,74,524,342,99,18,16,25,42,1030,29,17,-11,12,1,1000,55480,1450,26,5874,571,97,341,511,0,58970,32380,61860,26520,60180,29930,43000,37070,41830,2480,3650,6130,L3002,230,Berne,Wangen,,
377,842,18,437,7100,92900,0,99500,200,300,0,21000,13000,29000,81300,17800,130,1880200,1923600,1923300,1935000,1946000,256,156,0,100000,0,720,190,389,366,100,285,359,171,663,220,213,147,583,312,79,17,9,12,100,1073,30,18,-9,12,3,1102,67560,1180,16,15742,5825,370,26,706,0,73960,18660,70910,18130,72650,18430,41920,42240,42940,2080,3070,5150,L103,301,Lucerne,Entelbuch,,
320,739,13,424,4800,95000,0,97000,500,2400,0,47000,4000,61000,82400,18300,118,1874100,1897300,1918600,1878500,1925900,312,271,58000,42000,0,581,323,131,566,56,318,455,210,486,374,181,61,564,288,111,17,20,22,39,1069,27,17,8,10,17,1085,40360,3670,17,9926,1345,136,128,668,2,63220,29510,72030,16610,66560,24620,41000,25550,37890,2660,4290,6950,L203,302,Lucerne,Hochdorf,,
240,497,23,458,14500,84100,600,92500,1400,5600,100,43000,4000,58000,79800,20400,125,1876600,1913800,1919600,1878200,1885100,341,328,80000,20000,0,203,467,38,489,64,273,339,264,160,473,111,22,307,371,248,29,45,77,8,982,27,15,10,12,22,952,35660,10930,5,10276,3264,318,27,721,0,23380,45120,25150,35000,23970,41720,35210,28160,33570,8340,6540,14880,L303,303,Lucerne,Luzern,,
364,764,16,465,4700,85200,0,98800,400,800,0,35000,7000,46000,78700,20800,116,1877200,1913400,1918400,1902000,1940000,266,219,0,100000,0,631,269,177,533,58,302,389,179,550,317,198,106,514,346,109,16,15,19,79,1074,28,18,-2,9,7,1082,48890,1570,18,9759,1434,147,190,639,1,68080,24520,64980,24680,66840,24580,38810,40080,39930,2080,3500,5580,L403,304,Lucerne,Sursee,,
367,801,18,446,11900,88000,0,99100,200,700,0,31000,8000,41000,81300,18200,132,1877200,1917300,1924200,1911000,1940000,247,185,26000,74000,0,682,228,249,458,72,297,408,174,607,268,187,80,566,297,104,17,16,17,52,1039,29,19,-5,9,4,1068,51580,1330,19,9880,1615,163,218,582,0,74150,18880,73440,16710,73860,17990,41070,38370,41300,2010,3790,5800,L503,305,Lucerne,Willisau,,
373,802,12,457,5700,94100,0,94600,300,4700,300,25000,11000,20000,79400,25400,137,1886000,1922500,1925400,1907900,1933000,331,259,43000,46000,11000,451,282,218,357,119,261,307,218,401,299,166,24,569,193,176,43,20,77,16,1041,33,18,-4,15,12,1069,65840,5520,5,20050,7227,360,0,876,0,53350,20600,57020,12480,54750,17500,39760,27220,38170,11930,5810,17740,L4,401,Uri,Uri,,
283,618,9,449,1300,98700,0,98900,500,500,100,45000,4000,35000,83000,31800,165,1874000,1910600,1926900,1876300,1916900,488,453,0,100000,0,423,364,72,584,80,450,451,338,305,438,238,354,299,524,140,19,17,56,270,947,28,19,-10,9,-1,978,77930,4800,92,11108,1678,151,2,754,0,46420,39990,24780,46310,35770,43100,34100,52890,49220,3170,6920,10090,L105,501,Schwyz,Einsiedeln,,
276,697,27,371,2700,96500,0,88900,100,10800,100,44000,3000,40000,82800,25400,173,1874900,1917700,1929500,1884400,1940000,659,636,100000,0,0,334,527,35,736,82,546,589,463,196,624,138,96,383,345,218,34,19,103,29,857,32,19,5,13,18,828,64960,12060,22,9558,5269,551,0,940,0,38610,38800,15710,52110,27120,45480,29080,57510,50190,1920,3230,5140,L205,502,Schwyz,Gersau,,
314,649,7,479,7100,92900,0,98600,300,800,200,26000,11000,24000,76200,20500,129,1877700,1905300,1919400,1918700,1917500,489,453,42000,58000,0,485,365,75,739,66,484,365,316,355,483,212,157,435,358,173,23,11,93,102,984,27,17,-4,10,6,1005,56030,3560,26,7373,2027,275,5,738,18,66260,22980,33440,45600,52200,32670,27440,59790,42840,5780,2000,7780,L305,503,Schwyz,Hoefe,,
324,627,19,503,4600,95100,0,94600,1900,3100,100,31000,7000,29000,71600,16500,132,1874900,1914900,1917700,1877300,1917200,296,281,100000,0,0,482,374,51,418,24,208,467,191,400,383,165,49,440,306,211,24,19,83,31,1232,28,18,0,11,10,1126,49130,9380,8,12148,3651,301,4,777,0,57620,27910,47020,21190,53990,25610,29800,28320,34220,3820,8040,11860,L405,504,Schwyz,Kuessnacht,,
306,618,11,486,5100,94800,0,98300,0,1600,100,35000,10000,22000,71900,17100,137,1888800,1916200,1919600,1885500,1913300,512,457,90000,10000,0,513,377,106,698,90,469,460,323,382,481,222,129,500,308,152,27,12,63,91,951,28,19,-1,8,7,981,63780,3800,36,8818,2371,269,4,822,0,61140,29050,43660,42590,53440,35010,35960,53550,44020,2640,2470,5100,L505,505,Schwyz,March,,
288,649,8,436,3700,96300,0,95600,500,3600,200,27000,8000,18000,80800,24400,122,1879100,1918400,1919000,1883800,1919200,433,394,32000,58000,10000,469,311,91,559,78,439,409,303,354,387,206,206,391,411,152,29,16,61,149,982,29,18,-7,11,5,975,62020,5650,45,13688,4510,329,0,781,0,50210,26020,31930,37490,42440,30890,31960,51560,42480,6700,7190,13890,L605,506,Schwyz,Schwyz,,
345,762,9,447,3000,97000,0,97500,400,1900,100,41000,2000,11000,82000,24200,96,1874800,1906500,1907200,1881100,1929500,375,291,49000,38000,13000,568,277,226,352,118,300,480,253,481,296,242,162,539,325,97,21,17,32,86,1008,29,17,0,12,12,1036,69940,3820,14,13873,4409,318,1,893,0,62180,21260,55050,17410,59090,19590,40350,38490,43320,3870,6390,10260,L6,601,Schwyz,Obwalden,,
351,744,7,467,1700,98300,0,97400,300,2300,0,41000,3000,24000,77200,24400,100,1875900,1906100,1910000,1885500,1946000,346,302,69000,31000,0,493,325,127,447,80,316,439,251,401,356,210,158,462,351,132,32,23,40,112,960,30,17,-7,13,5,984,63120,4260,20,17633,4953,281,0,879,0,58960,22580,46400,25310,53620,23740,36780,45320,42510,4500,6470,10970,L7,701,Schwyz,Nidwalden,,
217,435,13,483,72000,27900,0,95300,200,3900,200,44000,6000,37000,71700,19700,130,1876000,1908500,1919700,1879900,1860000,577,546,55000,45000,0,263,569,54,785,119,477,388,398,180,655,176,98,356,392,196,30,26,67,43,868,23,17,-3,6,3,864,62800,6950,18,15137,1424,94,3,840,0,29920,57740,18400,64730,24940,60760,31880,46030,43210,3340,3770,7110,L8,801,Schwyz,Glarus,,
261,597,14,424,9100,90700,0,93700,800,5100,100,38000,2000,42000,80100,21700,117,1874200,1896400,1917100,1882000,1909700,382,353,69000,31000,0,375,463,77,577,74,326,452,280,291,495,167,168,368,434,146,27,24,49,79,945,26,16,2,10,12,964,47500,8510,16,11167,2638,236,34,737,0,42280,42940,34520,44040,39350,43350,33120,38360,37760,4340,7360,11710,L9,901,Schwyz,Zug,,
399,803,28,478,6300,93700,0,7000,92200,600,0,41000,4000,11000,74000,16500,188,1898800,1928400,1935000,1914100,1940000,323,223,53000,47000,0,749,163,309,363,109,396,524,228,649,209,191,15,691,182,88,24,15,23,6,1030,32,22,-7,10,3,1015,60830,2940,5,7284,462,63,320,587,5,80490,13610,80850,8130,80640,11300,42390,30420,42280,2050,5570,7630,L110,1001,Fribourg,Broye,,
405,891,19,442,1900,98000,100,3800,95400,700,0,41000,4000,11000,81100,22500,248,1884600,1925400,1935000,1921000,1940000,325,206,0,100000,0,701,186,366,336,129,338,429,221,627,219,190,34,628,224,102,28,18,22,27,1036,34,22,-7,12,4,1059,53010,2400,8,8504,1560,183,188,740,0,72730,18780,75970,12150,74080,16020,42700,31590,41640,2820,4910,7730,L210,1002,Fribourg,Glane,,
360,764,21,456,2700,97100,100,7000,90800,2100,0,44000,3000,10000,75400,25400,165,1876600,1916100,1929400,1910200,1927600,392,329,0,96000,4000,575,281,161,573,97,439,415,277,460,362,194,112,534,315,107,30,14,29,87,1028,34,19,-5,14,9,999,59890,3520,36,14391,2855,198,20,913,0,58330,31540,53800,33280,56440,32270,39860,43130,41810,3770,4580,8350,L310,1003,Fribourg,Gruyere,,
312,730,24,408,8600,90900,300,22400,74000,2200,100,40000,4000,26000,78700,26100,193,1884300,1920400,1928100,1910200,1926100,353,304,0,100000,0,390,331,137,394,119,314,392,278,320,348,124,58,473,310,159,29,29,43,22,992,32,20,4,12,16,1005,42970,9890,13,9826,1850,188,214,720,0,44170,37530,55750,22820,48090,32560,39220,23720,33830,5460,12090,17550,L410,1004,Fribourg,Sarine,,
376,716,32,503,67600,32100,200,67300,32200,400,0,33000,4000,12000,75600,16100,152,1879600,1914500,1925100,1914500,1922200,436,207,54000,46000,0,666,237,526,262,236,302,457,280,627,244,181,6,656,196,110,21,16,31,2,1017,29,19,-11,11,-1,1045,54700,1860,3,6851,454,66,326,590,15,73840,19280,74920,13290,74280,16840,40970,32040,40610,2540,3380,5910,L510,1005,Fribourg,See,,
488,1003,33,469,16300,83700,0,95400,4000,600,0,28000,7000,5000,76300,22800,157,1878200,1921400,1928100,1918000,1940000,453,225,0,100000,0,730,206,503,337,215,393,500,284,665,243,162,50,673,226,79,14,8,15,44,1044,38,20,-7,18,11,1072,55420,1260,35,10083,2841,282,211,689,1,76820,18850,79850,11920,78090,15940,42920,31390,41980,1520,3050,4570,L610,1006,Fribourg,Sense,,
